question_id,predicted_answer_id
707,767296
534450,231208
996163,816559
860215,988549
980124,384381
715450,159619
83137,270092
492004,918931
396112,876269
950910,179159
359606,205988
404559,323555
67979,939646
375105,277703
201748,356063
730108,333669
511077,587525
796402,47681
719455,346778
866582,238428
45992,321580
975228,117389
468565,604191
148983,719623
404399,647925
276700,337669
291815,256019
457065,25619
763630,918931
478951,992099
739712,336232
468964,113420
798827,501117
802629,733122
866437,146382
32898,45881
674999,779904
301582,336232
903687,844757
966360,125466
653725,175233
43287,601463
137315,909686
858332,196538
711557,454908
282139,303198
784574,856125
218501,71621
467555,666870
372570,863599
623438,844404
159026,641425
141910,643931
349980,448783
484467,474349
428448,227886
15455,139253
41388,660130
784806,659857
485919,389970
468455,432336
880760,453360
360129,116002
544363,2183
656155,47681
984445,828995
783826,535717
157602,602965
154607,337669
366847,133104
561639,337669
423537,684662
54206,944432
317156,774098
110845,71621
37941,477292
541938,616286
663679,449113
302704,547515
644283,612379
409570,575944
973718,231208
623634,71621
684030,470692
435811,132084
755730,571677
857681,961339
920561,957387
996556,258304
393472,305156
624359,364660
365647,332487
808568,95935
408697,235894
20796,551078
978490,597788
409741,362231
288046,677950
738796,61077
834592,982826
7871,953999
525720,402149
408839,2183
783897,658180
652665,770524
485931,961339
851314,296378
537474,388792
256254,258304
125171,569646
850019,49875
731780,705894
733842,235894
533344,139253
15141,267176
449854,634664
618805,585024
602402,998582
51720,957483
94860,745985
310609,697512
251807,146382
502581,724503
240007,394817
281994,417542
167225,321580
358446,258304
598758,321580
629161,643931
841786,693504
756445,92006
642263,402149
739865,688397
836792,251763
990846,633535
840192,774098
518503,643931
790575,348726
235326,816559
531398,909686
179208,248002
597099,586842
18271,585024
597040,461727
656955,432336
729794,619839
775444,909686
112844,336232
751810,254764
481050,956067
348691,673446
800225,374283
876434,938493
761799,375685
248672,753397
873189,657869
541748,336232
314474,829939
348446,473667
267217,231208
439227,408065
640159,347379
517135,315988
737600,336232
168456,520235
415945,624319
585239,436415
13656,336232
314443,826163
98271,527586
526961,426713
297746,485718
691994,102379
657568,549426
848926,962799
820519,776038
992718,602965
775095,61077
646908,604191
29206,231208
177375,8144
550060,129019
770887,364660
170266,169534
168234,591677
790368,610246
667025,60829
335197,829845
646432,139004
294598,231208
823171,115190
389838,590047
437578,911903
781287,962918
847529,429152
489008,336604
62446,677072
820861,343579
978122,323555
511392,918931
762401,747722
454085,723980
811149,432336
929623,843792
70884,348726
955465,366701
179923,127825
251434,754019
232904,528051
862304,215519
888088,235894
437559,917151
888685,170074
373249,833736
16989,321199
699332,123896
434400,948185
934048,40536
499147,856125
349193,290881
230489,909686
408377,170074
688045,445288
924782,998582
385696,630862
747640,944536
496771,146382
65990,651256
378902,323509
89717,879300
272080,434278
189147,503162
370991,165997
777715,918931
327349,586828
996936,644557
114137,348853
579699,920377
402463,383875
789733,575944
330974,643931
270131,820366
671689,282072
139293,820131
87865,202611
210584,292637
600586,623923
16836,797592
755536,231208
850412,33221
446552,770524
232713,47681
524057,650314
201827,84493
527998,235894
353935,295325
920252,918931
961809,473387
865206,371090
926254,170074
810730,118163
490571,154447
97036,366102
422861,654600
492752,7040
795500,125560
385968,158071
742783,942610
116124,917151
519225,8144
44221,48610
540113,26045
450840,520235
889664,856840
366864,116923
918502,535752
357540,546686
69280,362864
441406,573442
53620,83489
476088,918931
522698,813016
982849,614759
200523,231208
28320,953341
313471,151441
305506,258304
257030,336232
535244,28519
533156,728460
315256,611431
834478,917151
875224,235894
736682,756671
777725,373121
823670,235894
304457,608866
992281,565059
701891,205028
633135,268227
107112,48610
539524,918931
552046,514845
210610,301984
390925,235894
759753,552219
720443,816559
374894,816962
878633,857536
100462,434436
390696,198863
169657,837654
129836,742225
487838,60278
855904,280618
323018,467060
782374,364660
535774,814636
271314,127128
330980,432336
896922,633535
313645,718531
132408,68170
297938,838840
385515,258304
298795,138373
163028,182930
144008,757200
209995,975414
779163,748216
983336,108694
182060,554930
833839,129555
567807,364660
119643,146382
857244,709491
195757,69088
154955,514845
642108,343579
385409,227401
454305,878595
734846,452911
505559,849555
387343,554774
111801,335665
776454,918931
756239,473387
183962,282490
221015,292637
301340,231208
339407,851438
784261,235894
575504,709740
960630,321580
483335,514296
823985,542726
598462,231208
736656,917151
763715,548628
897683,227942
267740,336232
933215,659124
215251,855090
708756,964300
531824,747722
207791,528427
362212,380338
413499,953999
292482,631234
227643,129555
661795,603548
26083,121944
331211,508500
634302,108455
369043,171464
563656,131514
303424,844684
510791,960717
352661,128203
772350,517467
887603,445288
897413,258304
993802,337669
664764,336232
45382,738358
184012,258304
700214,915391
492662,187413
624318,231208
275592,194397
900932,235894
60224,336086
845666,392684
689643,262806
641210,68951
727226,90836
665353,336232
355852,399514
67630,47681
758894,87396
764648,25760
472103,413336
467050,427195
125584,550613
795969,918931
780811,321580
846941,258304
166131,86693
266655,393080
737623,336232
848952,8144
64532,337669
535970,957623
379452,292535
425359,336232
407698,364660
848578,108694
646620,982235
431460,537743
776871,689348
878782,753636
420280,770524
375042,73776
454904,856125
517034,608866
195524,657509
380973,826163
171270,787264
59886,842696
593918,364660
220847,337669
691371,647925
691936,186536
278324,273900
407535,336232
357567,582174
742442,296378
11163,847229
922758,336232
316292,336232
384000,809479
154481,405658
341745,903346
165180,322081
792474,637447
916754,926617
871695,402149
260356,361364
742375,757091
361333,647925
637459,585024
458609,282072
190560,950760
376598,389267
730450,48610
685106,335665
871686,812034
80634,13558
496941,233513
356163,986222
928289,640149
783059,336232
243608,619483
165795,62150
420116,524962
254889,555375
648897,248031
202488,48610
789468,917151
967107,957623
292499,546298
107245,336232
255349,231208
648843,526582
154443,337669
419688,608866
297991,966799
711865,314791
179584,108455
740859,2183
139229,634846
661274,415398
209233,337669
37351,48610
607087,597569
878572,659646
607649,572874
653735,125560
363410,956067
732105,708344
190994,155856
800619,520235
341425,985321
220544,235952
657794,511886
382863,384381
656359,520235
881609,337669
241528,567321
599038,884683
714194,520235
911555,71745
842454,235894
610961,48610
929291,788623
343326,918931
421813,123896
123033,86769
188294,47681
773785,867705
178777,521840
134025,770524
881774,922526
678022,944884
